Tag Name,Question,Answer
Esta,What is the Electronic System for Travel Authorization (ESTA)?,"To strengthen the security of travel to the United States under the Visa Waiver Program, requirements to travel visa-free have been enhanced. Nationals of Visa Waiver Program countries will still be eligible to travel without a visa but will have to obtain an approved travel authorization prior to their travel to the United States.

The Department of Homeland Security and the United States Customs and Border Protection have provided a secure public Web site with an automated form for you, or a third party, to complete in order to apply for a travel authorization. Once you enter the required biographic, travel, and payment information on the secure Web site, your application is processed by the system to determine if you are eligible to travel to the United States under the Visa Waiver Program without a visa.

The Electronic System for Travel Authorization (ESTA) is an automated system used to determine the eligibility of visitors to travel to the United States under the Visa Waiver Program (VWP) and whether such travel poses any law enforcement or security risk."
InformationDesk,Where is the information desk?,"You have arrived at Montréal-Trudeau and have questions or need assistance? Our agents at the information desks are there to help you.

Two information desks are available at the airport to serve you better. Our information desk is open 24 hours a day, 7 days a week and is located at the departures level, near door 4.

There is also another information desk at the arrivals level near door 28. This counter is open from 7:00 to 4:00. When closed, a phone a phone which is connected to the information counter at the departures level is available to you. An agent will be happy to answer you.

If you call us, our agents can assist you with your questions at 514 633-6333 or toll free 1 800 465-1213."
Ambassadors,What are the ambassadors?,"Do not worry, the ambassadors are here!

You have some questions or need assistance? At Montréal-Trudeau the YUL ambassadors are here to help you. Speaking a total of more than 13 languages ​​and recognizable by their red jackets, the ambassadors are present everywhere at the airport to guide you along your journey. They can also advise you on various offers and services, according to your tastes and preferences."
SelfServiceKiosk,Where can I ask for information?,"Find everything you are looking for!
You are at the airport wondering where are the nearest toilets or how can you find your favorite restaurant?  
Self-service information kiosks are designed as complementary information tools. These kiosks provide answers to the frequent questions asked by passengers and help with wayfinding. The self-service information kiosks ""YUL INFO"" are there to assist you, in French and English.
You can find them all over the airport."
MakeComplaint,"How to make a complaint, compliment or comment?","Your voice matters! 
We all stand to gain from open communication. Whether it's used to answer a question, solve a problem, or share a success, communication is the key. 
While we welcome all positive comments you may have, it is equally important for us to know when you have a concern so that we can work it and retain your confidence and satisfaction. 
To make a complaint or simply request futher information, please contact us via this form. 
Please note that our team responds to complaints, compliments or comments from Monday to Friday between 9 a.m. and 3 p.m, a member of our team will contact you within one business day.
Do you have a question that requires an immediate response? 
We are pleased to answer your questions at any time, please contact us at 514 633-6333 or toll free 1 800 465-1213. Our information desk is always open 24 hours a day, 7 days a week. 
We invite you to visit our Frequently Asked Questions where you will find information and useful links that could answer your questions."
Lockers,Are there lockers at the airport?,"​For safety reasons, there are no lockers in the airport terminal. A cloakroom service, located at the arrivals level, is available 24 hours a day, every day, all year.
You will find from the following link a price list as well as the phone number: CLOAKROOM RATES - OPSIS.
Please note that it is mandatory to present one valid ID with photo as well as a boarding pass or flight confirmation to use the cloakroom."
InternetAccess,How can I access the Internet?,"To log on to the YUL Wi-Fi network, simply :

Choose the «YUL WiFi» network
Open your browser
Accept the terms of use by authentication via your email address
 
Open a new session 
A logon provides up to 60 minutes of free browsing. For more time, simply start a new session. "
BuySimCard,Where can I buy a SIM card?,"Need a SIM card when you arrive at Montréal-Trudeau?

Two choices are available to you!

At the arrivals level, you can find a Lucky Mobile kiosk that offers SIM cards and packages from the same company. For more information and the kiosk location, visit our website.

At the arrivals level, ICE International Currency Exchange also offers SIM cards with Telus. For more information and the kiosk location, visit our website."
ContactUs,How can I contact you?,"Montréal-Pierre Elliott Trudeau International Airport - YUL
975, boul. Roméo-Vachon Blvd. North
Dorval,QC H4Y 1H1
Canada
General information
Telephone : 514 633-3333
Toll-free : 1 800 465-1213
Parking Information
Telephone : 514 633-3016
Toll-free : 1 866 236-3999
E-mail : parkingreservation@admtl.com
To consult the state of a flight, consult our website
Montréal-Mirabel International Airport - YMX
12300 Services A-4 Street
Mirabel, QC J7N 1E8
Canada
For more information, please visit our website
Montreal Airport (Head Office)
800, Leigh-Capreol Place
Suite 1000
Dorval, QC H4Y 0A5
Canada
For more information, please visit our website
Do you have questions or comments?
We invite you to visit our FAQ to get the answers to your questions. 
However, if you still need assistance, you can contact us."
Atm,Are there automated teller machines?,"For your convenience, you will find a dozen automated teller machines throughout the terminal. All Canadian debit cards are accepted.

International debit cards will be considered credit cards.

Bank of Montreal ATMs also accept MasterCard.

Royal Bank machines take VISA.

An ATM machine in the international area dispenses euros, while another in the transborder area dispenses U.S. currency."
CurrencyExchangeOffice,Where is the currency exchange office?,"Do you need foreign currency? You can contact the International Currency Exchange (ICE) exchange offices. They also offer the “Click & Collect” service, you can book your currency online and pick up your order here at Montréal-Trudeau!

Seven exchange offices to serve you:

Public area - Arrival level
Public area - Departures level
Restricted area - Domestic side
Restricted Area - International Side
Restricted Area - International Side
Regulated area - Transboundary side
Restricted Area - Baggage Carousel Side"
PrayerArea,Is there a place of prayer or meditation?,"A multi-faith area for prayer and reflection is available to airport users. It is located in the transborder (U.S.) departures area, near the Java U restaurant."
ClaimLostItemAirport,Where can I claim a lost item at the airport?,"If you have forgotten an object in a public place at the airport (eg washrooms, restaurant, parking or general boarding area), please notify the lost-found-objects service by email gopt@admtl.com.

Be sure to provide as many details as you can about the lost article, such as the brand, colour, size, serial number or distinguishing characteristics.

Objects can be claimed at the airport cloakroom at the arrivals level between doors 21 and 23."
ClaimLostItemFlight,Where can I claim a lost item from my flight?,"If you forgot or lost something on a flight, please contact directly your airline. 

Be sure to provide as many details as you can about the lost article, such as the brand, colour, size, serial number or distinguishing characteristics."
ClaimLostItemTaxi,Where can I claim a forgotten item in a taxi?,"If you have forgotten an object in a taxi or a parking shuttle, please notify the lost-found-objects service by email gopt@admtl.com.

Be sure to provide as many details as you can about the lost article, such as the brand, colour, size, serial number or distinguishing characteristics.

Objects can be claimed at the airport cloakroom at the arrivals level between doors 21 and 23."
SmokeAtAirport,Can I smoke on the territory of YUL Montreal-Trudeau International Airport?,"Under Quebec's Tobacco Control Act, smoking is prohibited within 9 meters of every door or air intakes connected to an enclosed place where smoking is prohibited. No-smoking areas are clearly identified and smoking areas are available and clearly delineated in the departures and arrivals zones. In order to ensure that the no-smoking areas are respected, inspectors with the Ministère de la Santé et des services sociaux du Québec will be conducting regular checks.

As for the electronic cigarette, the same conditions apply.

Offenders are liable to a fine of $ 250 to $ 750 and, in the event of a second offense, to a fine of $ 500 to $ 1,500.

For more information on Quebec's Tobacco Control Act, visit the Government of Quebec's website."
TravelWithCannabis,Can I travel with cannabis?,"As part of the Cannabis Act effective October 17, 2018, crossing borders with cannabis is illegal.


For more information regarding cannabis guidelines while travelling in Canada or abroad, passengers should visit the Government of Canada website."
ConsumeCannabisAtAirport,Can I consume cannabis at the airport?,"YUL Montréal-Trudeau International Airport aims to ensure the health and safety of its passengers and the entire airport community. As such, cannabis consumption is not permitted anywhere on the airport site, including the parking areas."
DisposeCannabis,Where will I be able to dispose of my cannabis?,YUL Montréal-Trudeau International Airport has installed specific waste baskets at security checkpoints that are clearly identified to allow passengers to safely dispose of cannabis if needed. These secured waste baskets are under The SPVM is responsible for these secure waste baskets and will ensure the collection and disposal of cannabis recuperated on-site.
FlyDrone,Can I fly a drone on the territory of YUL Montreal-Trudeau International Airport?,"Under the Aeronautics Act, it is illegal to use a recreational drone within 5.6 kilometers (3 nautical miles) of aerodromes. Therefore, it is strictly forbidden to fly a drone on the territory of YUL Montréal-Trudeau International Airport.

You could be subject to serious penalties, including fines or incarceration, if you break the law.

To use a drone for non-recreational purposes near an aerodrome, you must obtain a certificate.

For any questions regarding the use of drones, please consult the Transport Canada website."
PayStatementOfOffense,How can I pay for a statement of offense?,"To make the payment of your statement of offense, several options are available to you:

Via the website https://www.amendes.qc.ca 
By phone at 1-877-263-6337
By check, postal money order or credit card by completing the ""Payment method"" section of your reply coupon and send your payment to the following address:
Bureau des infractions et amendes
1200, route de l’Église
Québec (Québec) G1V 4X1

Within the 30 days from the date of service of the return, you can pay the total amount claimed in most Québec financial institutions."
ContestStatementOfOffense,How can I contest a statement of offense issued by Airport Security?,"If you have received a statement of offence from Airport Security and wish to plead not guilty, two options are available to you:

You can record your plea on the response form provided to you at the time of issuing the statement of offense and send it to the address indicated on the form.
You can go to the website of Bureau des infractions et amendes and complete the Transmission of plea form. Several methods of sending are proposed."
CanineUnit,What does the canine unit do at the airport?,"You have already seen them at the airport, walking with their dog handlers. These German Shepherds work with the Airport Patrol to ensure the safety of passengers.

They should not be confused with the dogs of the Canada Border Services Agency (CBSA). Their role is to detect illegal food, large amounts of cash, and drugs.

The canine unit is responsible for protecting facilities, aircrafts and passengers. You may even have seen them in action during one of their exercises.

Did you know that it is possible to collect dog cards from the dog unit?

The next time you are at the airport, go meet the handlers. In addition to chatting with them, you may receive a collectable dog card."
MedicalEmergency,What to do if I need emergency medical help?,"Thanks to a partnership agreement between Aéroports de Montréal and Urgences-santé, passengers can count on the presence of paramedics in the terminal.

Services provided by paramedics from Urgences-santé give Montréal-Trudeau passengers and workers access to dedicated resources who can provide a wide variety of paramedical care.

The paramedics patrol the airport terminal by bike, speeding up their movements and increasing their coverage.

In the event of a medical emergency at Montréal–Trudeau: press the emergency button located on all public telephones, or dial 514 420-5000, or contact a member of the Airport Patrol or any customer service representative."
NationalBankLounge,Where is the National Bank Lounge located?,"Aéroports de Montréal is proud to welcome you to its lounge sponsored by National Bank situated close to the gate 53.The National Bank Lounge is only be available to passengers taking a flight assigned to the international zone between gates 51 to 68. Simply show your National Bank World EliteMD  to get free access to the lounge for you and a guest.

For passenger non National Bank World EliteMD  line credit card holder, it is possible - but not mandatory - to reserve in advance through Swissport operator. Visit their website http://www.executivelounges.com/. All travelers are welcome at National Bank Lounge. In case you don't have the National Bank World EliteMD or World MastercardMD or you are not a member of a loyalty program, please check the access policy by calling (514) 636-7638."
DesjardinsLounge,Where is the Desjardins Odyssey Lounge located?,"Aéroports de Montréal is proud to welcome you to its ""Desjardins Odyssey Lounge"" lounge sponsored by Desjardins situated in the extension of the international jetty near the gate 63.

This lounge is distinguished by its warm and refined layout, creating a space with a relaxed atmosphere and has about 160 seats.

If your flight is assigned in the international zone and you are an Odyssey® line credit card holder, you benefit from a ""privileged access"", visit the Desjardins website for more information. 

The offers at the lounge:
Free Wi-Fi access
Newspapers and magazines
Refreshments
A selection of hot and cold meals
The lounge is accessible to passengers with reduced mobility"
AirCanadaLounge,Where is the Air Canada - Maple Leaf Lounge located?,"Aéroports de Montréal is proud to welcome you to the Air Canada - Maple Leaf Lounges.

Air Canada invites you to enjoy the Maple Leaf Lounge if you are a Business Class customer or an Altitude Super Elite 100K, Elite 75K, Elite 50K or Star Alliance Gold member

If you are traveling within Canada, you will find the lounge at Gate 3.

If you are traveling to the United States, you will find the lounge at Gate 73.

If you are traveling to an international destination, you will find the lounge at Gate 52.

For more information, visit Air Canada website."
AirCanadaLoungeClaimLostItem,Where can I claim a lost item at Air Canada - Maple Leaf Lounge?,"If you left it in a dedicated Air Canada area of the airport (e.g. a Maple Leaf Lounge, the desk of a gate with permanent exclusive Air Canada signage), please complete their Lost Item Form."
AirFranceKlmLounge,Where is the Air France KLM Lounge located?,"Aéroports de Montréal is proud to welcome you to the Air France KLM Lounge located in the international zone at Gate 57.

Air France and KLM invite you to enjoy the Air France KLM lounge if you are a First Class or Business Class passenger, a Flying Blue Platinum or Gold member, or a SkyTeam Elite Plus passenger.
The offers at the lounge:
        Free Wi-Fi access
        Local and international newspapers
        Refreshments
        A selection of hot and cold meals
        Showers
        Our lounge is accessible to passengers with reduced mobility

If you are traveling with Air France and would like more information, visit the Air France website.

If you are traveling with KLM and would like more information, visit the KLM website."
AirFranceKlmLoungeClaimLostItem,Where can I claim a lost item at Air France KLM Lounge?,"Did you forget something in the Air France KLM Lounge?

Within 4 days of the incident, please contact our Baggage Service in your arrival country. After this period, you can also contact the Baggage Service in your country of residence. To find the phone number and hours of operation for the Baggage Service, as well as the languages available, please the Air France website."
GlutenFreeMealsInternational,I am flying to an international destination. Where can I find gluten-free meals?,"You are traveling to an international destination, you will find 7 restaurants that offer gluten-free meals.

LOGO-BA_RO-625X299.png

Baéro welcomes all passengers and their family to start their journey with dishes that will make them travel around the globe before they even set foot on the plane!

You can find different choices of gluten-free meals, ranging from a squid dish, to a dish of salmon tacos, or a mini burger dish. It is also possible to choose a gluten-free dessert, such as lava cake or dulce de leche cheese cake.

The restaurant is located in the International zone near Gate 66.

BAERO-DEVANTURE-LR-LAD-1300X867-158K.jpg
LOGO-UPPER-CRUST-625x217-20k.png

Perfect baguettes call for top quality. Each sandwich is filled by hand, and it's an Upper Crust policy not to scrimp on the fillings!

You'll find several gluten-free choices at Upper Crust, such as egg and cheese bagel, cheese and bacon egg croissant or sriracha chicken baguette.

The restaurant is located in the International zone near Gate 62.

UPPER-CRUST-DEVANTURE-LR-LAD-1300X867-147K.jpg

LOGO_QDC_BURGER_625x340.png

Love child of the sexiest beef known to mankind and the cast-iron fronted warehouses of SoHo, QDC is no ordinary burger joint. Think an indecent amount of premium-aged beef, veal and pork handcrafted into the world’s best burgers, and salivate.

Burgers lover, you'll find dozens of gluten-free burger choices, as well as poutine and fried onions.

The restaurant is located in the International zone near Gate 52.

QDC-BURGER-BURGER-AND-ONION-RING-LR-LAD-1300X867-170K.jpg

LOGO-Cafe-Montreal-Bagel-625x340.png

Montréal’s notorious bagel needs no introduction if you know anything about food and Montréal. The famous bagel has been widely recognized and celebrated with newspaper and television coverage across North America and won almost every bagel competition hands down!

Travelers can choose from a variety of gluten-free options at Montréal Bagel & Deli, from salmon bagel, to herb grilled chicken panini, or chicken noodle soup or caesar salad.

The restaurant is located in the International zone near Gate 52.

CAFE-MTL-BAGEL-DEVANTURE-LR-LAD-1300X867-121K.jpg

LOGO_BAR_A_VIN_LGC.png

LGC is a multi-award-winning, beautifully designed oasis where travellers can sit and wind down over a glass of premium wine hand-picked from the world’s best vineyards and paired with bistro-inspired plates designed to match the drink choice.

Among them, LGC offers succulent seafood, as well as gluten-free dishes, such as salt-and-pepper calamari, rosemary lamb meatballs, LGC burger, and small plates of cheese and perfectly portioned small plates of local artisanal charcuterie and cheeses.

The restaurant is located in the International zone near Gate 52.

BAR-A-VIN-LGC-DEVANTURE-LR-LAD-1300X867-128K.jpg

Yul Pizza offers a vast variety of gourmet traditional and original pizzas including breakfast pizzas. They offer a gluten-free vegan pizza on their menu, as well as gluten-free pastries.

The restaurant is located in the Mixed departures zone near Gate 51.

The Archibald microbrewery offers a variety of gluten-free options:

2 choices of burgers: Archibald, made from Highland beef, bacon, cheddar, lettuce and tomatoes on gluten-free bread, and Goat and Mushroom, made from Highland beef, goat cheese, sautéed mushrooms, lettuce, tomatoes and mayonnaise with basil pesto on gluten-free bread.

2 choices of pasta: Gluten-free penne with two pestos - basil and sun-dried tomatoes - with goat cheese, arugula, gray shallots and cherry tomatoes, and forest gluten-free penne with creamy truffle salsa sauce, wild mushrooms, gray shallots, parsley, parmesan, and lemon.

Salads: Grilled chicken breast or salmon on kale, endives, apples, radishes, celery, cucumbers and pistachios, with horseradish vinaigrette and dill.

The restaurant is located in the Mixed departures zone near Gate 51."
GlutenFreeMealsUs,I am flying to a U.S. destination. Where can I find gluten-free meals?,"You are traveling to a U.S. destination, you will find 3 restaurants that offer gluten-free meals.
LOGO-HURLEYS-A-YUL-18k.png

Known as North America’s largest purveyor of Ireland’s greatest beer, Guinness, Hurleys is a favourite with locals and tourists who appreciate its full line-up of ales, whiskeys and hearty Irish pub fare.

The menu offers gluten-free meals such as poutine, chicken wings and sweet potato fries. In the morning, you can choose a gluten-free vegetarian omelette until 10:30 am.

The restaurant is located in the United States Restricted Area near Gate 81.

HURLEYS_DEVANTURE_2_LAD_2160X1440_488K_LR.jpg

home_intro_logo.png

Known for serving the best smoked meat sandwich in Montreal, Lesters Deli Express also offers the opportunity to taste its smoked meat through poutine, for people intolerant to gluten.

The restaurant is located in the United States Restricted Area near Gate 79.

Lesters-Deli_Commerce_120-Lad_LR.jpg
LOGO-URBAN-CRAVE-625x203.png
Urban Crave combines classic street food options and delivers them in an exaggerated, whimsical form full of fun, originality and powerful taste.

It's possible to find gluten-free offers at Urban Crave such as poutine or a scrambled egg white breakfast.

The restaurant is located in the United States Restricted Area near Gate 73.

URBAN-CRAVE-POUTINE-LR-LAD-1300X867-166K.jpg
houston-web.png
With its chic urban bar/restaurant concept, Houston promises a culinary experience that’s out of the ordinary.

Offering two low-gluten meals - salmon and spinach and grilled salmon - Houston is sure to please everyone. You will discover a refined cuisine at once simple, chic and deliciously affordable!

The restaurant is located in the United States Restricted Area near Gate 77."
GlutenFreeMealsDomestic,I am flying to a Canadian destination. Where can I find gluten-free meals?,"You are traveling to a Canadian destination, you will find 4 restaurants that offer gluten-free meals.

java-u-web_1__1_.png

Java U—Montreal’s hip, innovative café of renown has come to see you off with a variety of gourmet paninis and wraps, mouth-watering baked goods and a selection of soups and salads that changes daily.

The restaurant is located in the Mixed departures zone near Gate 1.

JavaU_Muffin-Cafe_Carrousel__1_.jpg

Yul Pizza offers a vast variety of gourmet traditional and original pizzas including breakfast pizzas. They offer a gluten-free vegan pizza on their menu, as well as gluten-free pastries.

The restaurant has two locations in the Mixed departures zone. The first is located near Gate 2 and the second is located near Gate 51.
The Archibald microbrewery offers a variety of gluten-free options:

2 choices of burgers: Archibald, made from Highland beef, bacon, cheddar, lettuce and tomatoes on gluten-free bread, and Goat and Mushroom, made from Highland beef, goat cheese, sautéed mushrooms, lettuce, tomatoes and mayonnaise with basil pesto on gluten-free bread.

2 choices of pasta: Gluten-free penne with two pestos - basil and sun-dried tomatoes - with goat cheese, arugula, gray shallots and cherry tomatoes, and forest gluten-free penne with creamy truffle salsa sauce, wild mushrooms, gray shallots, parsley, parmesan, and lemon.

Salads: Grilled chicken breast or salmon on kale, endives, apples, radishes, celery, cucumbers and pistachios, with horseradish vinaigrette and dill.

The restaurant is located in the Mixed departures zone near Gate 51."
DutyFree,Where is the duty free store?,"Indulgences, treats, fun: that’s what the perfect gift is all about!

Go on! Treat your nearest and dearest—and don’t forget yourself—to the very latest designer fragrances and cosmetics (including Dior, Armani, Chanel and Lise Watier, Guess, Fossil, Lacoste, Lonchamp, Tumi, and many more) as well as fine wines, liqueurs and spirits.

At the Duty Free store, you’ll find something for everyone on your list at the best possible price. From fashion accessories to gourmet chocolates and designer glasses, come and browse the latest exclusive items at the Duty Free store.

Want to really shop smart? Pre-order your duty-free items online, then come and collect them before your flight. Your fast track to saving time and money!

If you are traveling to an international destination, you will find the duty free shop - The Loop near the boarding gate 52.

If you're traveling to a US destination, you'll find the Duty Free Shop - The Loop near Gate 75."
Spa,Is there a spa at the airport?,"Beauty treatments that will give you a lift!

Exceptional massages provided by certified therapists. Beauty treatments based on natural ingredients. “Traveller’s Edition” express treatments. The perfect blend of travel, relaxation and personal care.

Services:

- Chair and table massages
- Facial and body treatments
- Manicures and pedicures
- Beauty products and accessories

You will find a BALNEA Spa Voyage at the following locations:

restricted area - Canada, near the boarding gate 5
restricted area - Canada, near the boarding gate 50
restricted area - United States, near the boarding gate 81"
MassageChairs,Where are the massage chairs?,"Relax and recharge!

It may be hard to imagine to be able to relax in middle of an airport. And yet, it is possible with massage chairs available in the transborder jetty near boarding gates 75 and 81.

The innovative massage chair can reduce stress, tension, and anxiety. While in use, massage chairs can also charge your device.

Easy to use, sit comfortably and let yourself go for a deep massage.  A massage can cost between $ 3 and $ 10 depending on the time of use.

You can enjoy a relaxing moment!"
PetSquad,Where can I meet the Pet Squad?,"YUL Pet Squad: Canine animation takes off at Montréal-Trudeau!

A squad of dogs has been formed by YUL to roam around the terminal, offering you moments of companionship. You can admire the animals and speak with their handlers.   Volunteers let passengers approach the dogs, but never go to them in case they have allergies or a phobia.

This initiative, who is recognized by Humane Society International/Canada, is greatly appreciated by passengers who may be somewhat nervous or anxious in an airport environment. 

You can meet the YUL Pet Squad in the international and domestic zones of the airport terminal."
ReadingArea,Where is the reading area?,"¨To read is to travel; to travel is to read.¨ Victor Hugo 

You will find a dedicated reading area near boarding gate 57. This area offers an innovative experience of comfort and relaxation.

Via the platform lirevoustransporte.com, you can download on your smartphone, tablet or e-reader the first chapter of any books available in five categories: Novel, Youth, Thriller, Essay/Bio, and Guide. Complete instructions for downloading are posted in the reading area. After enjoying the preview chapter, you can read the rest either by borrowing the complete e-book from the BAnQ portal or by purchasing it from the leslibraires.ca site (in print or digital format). Users are also invited to share what they're reading on Facebook or Twitter, using the hashtag #lirevt."
Concerts,Are there concerts at the airport?,"Nothing beats the experience of feeling the rhythm of the music of your favorite artists, while waiting for your flight.

That's why in YUL, with the help of artists, we organize surprise concerts, to make you experience a memorable passage at the airport and leave Montreal with a smile.

Do you want to know when is the next concert? Follow our Facebook page Aéroport Montréal-Trudeau Airport and our Instagram account @yulaeroport and locate #YULConcerts and #YUL and find the clues on our social networks. 

Looking forward to make you dance!"
Piano,Can I play piano at the airport?,"""Music gives soul to our hearts and wings to thought."" Platon

Let the music take you away by our passionate pianists every Thursday, Friday and Saturday.

It's also possible for you or your little ones to play the piano. So don't be afraid and  come to show us your talents.

If you are traveling to an international destination, you will find the pianos near boarding gate 53 and boarding gate 64, near the Transat play area."
Exhibitions,Are there any exhibitions at the airport?,"Le Montréaler comes to life at Montréal-Trudeau Airport!

Highlighting Montréal’s best-known features, the works of 52 illustrators and 10 authors enhance the tunnel space leading to the terminal’s domestic zone leading to Gates 17 to 34. Le Montréaler project brings together the talents of 62 Québec creators who have produced artistic and literary works in tribute to the famous covers of The New Yorker magazine. The artists took inspiration from the city’s iconic symbols to create eclectic interpretations forming a contemporary portrait.

Through this exhibition, you will be able to recognize or discover the city through the eyes of Québec artists and creators who journey through time, space and everyday life."
Videogames,Is there a place to play videogames?,"Do you have time before boarding?

Come experience YUL PLAY for free!

Enjoy the NHL 19 hockey video game and the FIFA 19 football video game.

You will find a YUL PLAY console near boarding gate 77, in the restricted area - United States. There will be more additional locations to come, stay tuned!"
